product_id,title,description,category_id,brand_id,link,image_link,price,discounted_price,availability,availability_date,stock_count,parent_id,trans_title,product_vendor,category_path,brand,mobile_web_link,android_deep_link,ios_deep_link,small_image_link,large_image_link,is_active,product_special_code,store_name,legacy_resource_id,publish_date
KBE580-MOUSE,"Techie Laptop Keyboard for Lenovo ThinkPad E580, E585, E590, L580, L590, T590 Series with Mouse",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBE580-MOUSE,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbe580-mouse.jpg,2499,1999,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbe580-mouse.jpg,,1,,Dengage eComm Demo,,
KBL480-MOUSE-BKL,"Techie Laptop Keyboard for Lenovo ThinkPad L480, L490, T490, E480, E495, L390 Yoga Series with Mouse & Backlight",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBL480-MOUSE-BKL,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbl480-mouse-bkl.jpg,3999,3299,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbl480-mouse-bkl.jpg,,1,,Dengage eComm Demo,,
KBIDEAPAD-5-14ITL6,"Techie Laptop Keyboard for Lenovo Ideapad 5-14ITL6 AIR14, 5 14IIL05, 14ITL05, Flex 5-14ARE05, 5-14IIL05 Series with Back",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBIDEAPAD-5-14ITL6,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbideapad-5-14itl6.jpg,1999,1499,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbideapad-5-14itl6.jpg,,1,,Dengage eComm Demo,,
KBY700,Techie Laptop Keyboard for Lenovo IdeaPad Y700-15ISK & Y700-17ISK Series with Backlight,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBY700,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kby700.jpg,3499,2999,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kby700.jpg,,1,,Dengage eComm Demo,,
KB15-A4M-BKL-ORG,"Techie Laptop Keyboard for MSI MS-14C1, MS-1551, Modern 15 A10RAS with Backlight",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KB15-A4M-BKL-ORG,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15-a4m-bkl-org.jpg,2999,2699,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15-a4m-bkl-org.jpg,,1,,Dengage eComm Demo,,
KBFLEX-5-14ITL,"Techie Laptop Keyboard for Lenovo IdeaPad 5 14IIL05, Flex 5 14ITL05, ThinkBook 14 G2 ACH, Yoga Slim 7 Pro 14ITL5 Series",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBFLEX-5-14ITL,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbflex-5-14itl.jpg,1499,999,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbflex-5-14itl.jpg,,1,,Dengage eComm Demo,,
P-9CIPE1,"Techie Laptop Keyboard for Lenovo ThinkPad T490S, T495S With Mouse",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=P-9CIPE1,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/p-9cipe1.jpg,1999,1499,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/p-9cipe1.jpg,,1,,Dengage eComm Demo,,
KBC930-13IKB-BKL,Techie Laptop Keyboard for Lenovo Yoga C930-13IKB Series with Backlight,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KBC930-13IKB-BKL,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbc930-13ikb-bkl.jpg,4999,3999,in stock,,,,,,Laptop Keyboard,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kbc930-13ikb-bkl.jpg,,1,,Dengage eComm Demo,,
PBUN3QB-ORG,"Techie Battery for Samsung PBUN3QB - NP300E5K, NP740U5L, 300E5K, 8500GM, 500R5M Series Laptops (3780mAh, 3-Cell)",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=PBUN3QB-ORG,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/pbun3qb-org.jpg,4999,3999,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/pbun3qb-org.jpg,,1,,Dengage eComm Demo,,
L18M4P72,Techie Compatible Battery for Lenovo L18M4P72- ThinkPad X1 Carbon Gen 7/Gen 8 & ThinkPad X1 Yoga Gen 5 Series Laptops (3,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=L18M4P72,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l18m4p72.jpg,3499,3299,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l18m4p72.jpg,,1,,Dengage eComm Demo,,
